,Unnamed: 0,No.,Email address,Gender,Last Name,First Name,Smoking,Alchohol,Uni,Nationality,School,Major,Habit,Roommate
0,0,0,sachinhaldavanekar@gmail.com,female,Haldavanekar,Sachin,yes,yes,hs2498,Guinea,BC,Music,Early Bird,Yes
1,1,1,snkt087@gmail.com,female,Saurav,Sanket,yes,no,ss4408,French Polynesia,Nursing,History,Night Owl,Yes
2,2,2,bidreviha@yahoo.com,male,Bidre,Viha,no,no,bv1567,Jersey,Nursing,Environmental Biology and Evolutionary Biology of the Human Species,Early Bird,Yes
3,3,3,sougatadafader@gmail.com,female,Dafader,Sougata,yes,no,ds7800,Guernsey,JTS,Earth & Environmental Engineering,Early Bird,Yes
4,4,4,athulmurali@gmail.com,female,Muralidharan,Athul,no,no,ma9067,Malta,UTS,Neuroscience & Behavior,Night Owl,Yes
5,5,5,megha.suvarna@ymail.com,female,Suvarna,Megha,no,no,sm1875,Slovenia,SSW,Business Management,Early Bird,Yes
6,6,6,kmvishnu92@gmail.com,male,Asheley,Vishnu,no,no,av8168,Ethiopia,CCS,Political Science,Night Owl,Yes
7,7,7,srashti.kasliwal@gmail.com,male,Kasliwal,Srashti,no,yes,ks6256,Christmas Island,SSW,Sociology,Early Bird,Yes
8,8,8,balakumaran26694@gmail.com,male,Asheley,Balakumaran,yes,yes,ab7022,China,SIPA,Electrical Engineering,Night Owl,Yes
9,9,9,ppranavtembe@gmail.com,male,Asheley,Pranav,no,yes,ap6885,Burma,SEAS,Chemical Engineering,Early Bird,Yes
10,10,10,harshildhruve56@gmail.com,female,Navin,Harshil,no,no,nh6421,Morocco,Nursing,French,Early Bird,Yes
11,11,11,shravandravid01@gmail.com,female,kumar,Shravan,yes,yes,ks9711,Pakistan,BC,Creative Writing,Night Owl,Yes
12,12,12,tejasharish.4u@gmail.com,male,Harish,Tejas,yes,no,ht1453,Somalia,GSAS,American Studies,Early Bird,Yes
13,13,13,rohsan7@gmail.com,female,Taori,Rohan,no,yes,tr4658,El Salvador,SEAS,Sustainable Development,Early Bird,Yes
14,14,14,mrunalghanwat2195@gmail.com,female,Ghanwat,Mrunal,no,yes,gm6336,Vietnam,UTS,Economics,Early Bird,Yes
15,15,15,varunsundar08@gmail.com,female,Sundar,Varun,yes,yes,sv2260,Saint Pierre and Miquelon,CCS,"Middle Eastern, South Asian, African Studies",Early Bird,Yes
16,16,16,kaustubhcs07@gmail.com,female,Shivdikar,Kaustubh,no,no,sk6688,Finland,CC,Comparative Literature & Society,Night Owl,Yes
17,17,17,pratikdevikar@gmail.com,male,Devikar,Pratik,no,no,dp3872,Grenada,GSAPP,Earth & Environmental Engineering,Early Bird,Yes
18,18,18,saumil94@yahoo.com,male,Patel,Saumil,no,yes,ps9268,Finland,CJS,Electrical Engineering,Early Bird,Yes
19,19,19,keerthan.bharadwaj95@gmail.com,female,Bharadwaj,Keerthan,yes,no,bk7328,Georgia,Medicine,Anthropology,Night Owl,Yes
20,20,20,Sreejith7227@gmail.com,female,Asheley,Sreejith,yes,yes,as3765,Liechtenstein,SIPA,Business Management,Early Bird,Yes
21,21,21,rushaabhsaliya@gmail.com,female,Saliya,Rushaabh,yes,no,sr7988,Tanzania,SPS,Sustainable Development,Night Owl,Yes
22,22,22,manusrinidhi10@gmail.com,female,Shankar,Srinidhi,yes,no,ss1175,Denmark,CLS,Sustainable Development,Early Bird,Yes
23,23,23,harshshethms@gmail.com,male,Sheth,Harsh,no,no,sh6896,Gibraltar,Nursing,Industrial Engineering & Operations Research,Early Bird,Yes
24,24,24,Nipunmidha92@gmail.com,female,Midha,Nipun,no,no,mn8018,Nauru,CLS,Biology,Night Owl,Yes
25,25,25,varad.choudhari@gmail.com,female,Asheley,Varad,yes,yes,av1776,Netherlands Antilles,MSPH,Computer Science,Night Owl,Yes
26,26,26,chaitanyajoshi15@gmail.com,female,Joshi,Chaitanya,no,yes,jc9069,Panama,VCPS,Visual Arts,Early Bird,Yes
27,27,27,Cyril13m@gmail.com,female,Mathew,Cyril,no,no,mc4267,Nigeria,CBS,Chemistry,Early Bird,Yes
28,28,28,vyomraj.nitrr@gmail.com,male,RAJ,VYOM,yes,yes,rv1119,Cuba,SEAS,Industrial Engineering & Operations Research,Night Owl,Yes
29,29,29,bharaths1993@gmail.com,male,Asheley,Bharathwaj,yes,no,ab8349,Nauru,SEAS,Psychology,Early Bird,Yes
30,30,30,sibendu.dey@gmail.com,male,Dey,Sibendu,yes,no,ds3757,Ireland,CC,Comparative Literature & Society,Night Owl,Yes
31,31,31,aks.shukla47@gmail.com,female,Shukla,Akshat,yes,no,sa8011,Namibia,Medicine,Biomedical Engineering,Early Bird,Yes
32,32,32,praga.nitt@gmail.com,female,Suresh,Pragadeesh,no,yes,sp4906,United Kingdom,MSPH,Industrial Engineering & Operations Research,Night Owl,Yes
33,33,33,sam141094@gmail.com,female,Pai,Samruddhi,yes,yes,ps4924,Oman,BC,Electrical Engineering,Night Owl,Yes
34,34,34,gaurav.g101@gmail.com,male,Gandhi,Gaurav,yes,no,gg6041,Greece,SGS,Sociology,Early Bird,Yes
35,35,35,venkatasaitarunu@gmail.com,male,SAI,VENKATA,no,yes,sv4049,Ukraine,CJS,Comparative Literature & Society,Early Bird,Yes
36,36,36,grishma.thkkr@gmail.com,male,Thakkar,Grishma,no,no,tg3294,Haiti,SGS,Mathematics,Night Owl,Yes
37,37,37,abhinnankit@hotmail.com,female,Ankit,Abhinn,no,yes,aa9229,Mexico,GSAS,Electrical Engineering,Night Owl,Yes
38,38,38,chirayudesai99@yahoo.co.in,male,Desai,Chirayu,no,yes,dc9802,Bosnia and Herzegovina,SGS,Economics,Early Bird,Yes
39,39,39,abhishekahuja02@gmail.com,male,Ahuja,Abhishek,yes,yes,aa9060,Rwanda,SGS,Art History,Early Bird,Yes
40,40,40,kanetkar.ninad@gmail.com,female,Kanetkar,Ninad,no,no,kn2201,Chad,SGS,Art History,Early Bird,Yes
41,41,41,prasannakumarch7@gmail.com,male,Kumar,Prasanna,yes,yes,kp9016,Vietnam,CC,Creative Writing,Early Bird,Yes
42,42,42,savarkarsagar27@gmail.com,female,Asheley,Sagar,no,yes,as1859,Benin,GSAS,Philosophy,Night Owl,Yes
43,43,43,kulkarnisaurabh95@gmail.com,male,Asheley,Saurabh,yes,no,as4650,Belize,GSAS,Civil Engineering,Early Bird,Yes
44,44,44,amanmankar11@gmail.com,female,Mankar,Aman,yes,no,ma1527,Libya,MSPH,American Studies,Night Owl,Yes
45,45,45,anupsrivastava67@gmail.com,male,Srivastava,Anup,no,yes,sa7408,Djibouti,SPS,Environmental Biology and Evolutionary Biology of the Human Species,Early Bird,Yes
46,46,46,ganeshsurada29@gmail.com,male,surada,ganesh,yes,yes,sg8678,Belgium,VCPS,Neuroscience & Behavior,Early Bird,Yes
47,47,47,bhargvnaman@gmail.com,male,Bhargava,Naman,yes,yes,bn1065,Denmark,BC,Film & Media Studies,Night Owl,Yes
48,48,48,vrs1211@hotmail.com,female,Singh,Vikas,yes,yes,sv9161,Gibraltar,CJS,English,Night Owl,Yes
49,49,49,prashantreddy069@gmail.com,female,Reddy,Prashant,yes,yes,rp5719,Russia,Arts,Biomedical Engineering,Night Owl,Yes
50,50,50,poojithshtt@gmail.com,male,Shankar,Poojith,yes,yes,sp5902,Ghana,Arts,Anthropology,Night Owl,Yes
51,51,51,prashantreddy069@gmail.com,male,Reddy,Prashant,yes,yes,rp6369,Norway,Arts,Environmental Biology and Evolutionary Biology of the Human Species,Night Owl,Yes
52,52,52,vipulsharma018@gmail.com,male,Sharma,Vipul,yes,yes,sv1383,Faroe Islands,CBS,"Applied Physics & Applied Mathematics, with Materials Science and Engineeringoption>",Night Owl,Yes
53,53,53,aparnasharma285@gmail.com,male,Asheley,Aparna,no,yes,aa2693,Albania,BC,Chemistry,Night Owl,Yes
54,54,54,nishitajmera9@gmail.com,male,Ajmera,Nishit,yes,no,an6698,Nicaragua,GSAS,Chemistry,Early Bird,Yes
55,55,55,withsumanth@gmail.com,male,Asheley,Sumanth,no,yes,as6573,Burundi,VCPS,Creative Writing,Night Owl,Yes
56,56,56,karantyagi11karantyagi11@gmail.com,female,Tyagi,Karan,yes,no,tk9063,Jersey,Medicine,Earth & Environmental Engineering,Early Bird,Yes
57,57,57,ps5579611@gmail.com,female,singh,Prashant,yes,no,sp9768,Indonesia,Arts,Chemistry,Early Bird,Yes
58,58,58,eswaran.santhosh@gmail.com,female,Eswaran,Santhosh,yes,yes,es1571,Qatar,CCS,American Studies,Early Bird,Yes
