No,Full Name,Email address,Gender,Last Name,First Name,Smoking,Alchohol,Uni,Nationality,School,Major,Habit,Roommate
0,Sachin Haldavanekar,sachinhaldavanekar@gmail.com,,,,,,,,,,,Yes
1,Sanket Saurav,snkt087@gmail.com,,,,,,,,,,,Yes
2,Viha Bidre,bidreviha@yahoo.com,,,,,,,,,,,Yes
3,Sougata Dafader,sougatadafader@gmail.com,,,,,,,,,,,Yes
4,Athul Muralidharan,athulmurali@gmail.com,,,,,,,,,,,Yes
5,Megha Suvarna ,megha.suvarna@ymail.com,,,,,,,,,,,Yes
6,Vishnu,kmvishnu92@gmail.com,,,,,,,,,,,Yes
7,Srashti Kasliwal,srashti.kasliwal@gmail.com,,,,,,,,,,,Yes
8,Balakumaran,balakumaran26694@gmail.com,,,,,,,,,,,Yes
9,Pranav,ppranavtembe@gmail.com,,,,,,,,,,,Yes
10,Harshil Navin Dhruve,harshildhruve56@gmail.com,,,,,,,,,,,Yes
11,Shravan kumar reddy ,shravandravid01@gmail.com,,,,,,,,,,,Yes
12,Tejas Harish,tejasharish.4u@gmail.com,,,,,,,,,,,Yes
13,Rohan Taori,rohsan7@gmail.com,,,,,,,,,,,Yes
14,Mrunal Ghanwat,mrunalghanwat2195@gmail.com,,,,,,,,,,,Yes
15,Varun Sundar Rabindranath,varunsundar08@gmail.com,,,,,,,,,,,Yes
16,Kaustubh Shivdikar,kaustubhcs07@gmail.com,,,,,,,,,,,Yes
17,Pratik Devikar,pratikdevikar@gmail.com,,,,,,,,,,,Yes
18,Saumil Patel,saumil94@yahoo.com,,,,,,,,,,,Yes
19,Keerthan Bharadwaj,keerthan.bharadwaj95@gmail.com,,,,,,,,,,,Yes
20,Sreejith,Sreejith7227@gmail.com,,,,,,,,,,,Yes
21,Rushaabh Saliya,rushaabhsaliya@gmail.com,,,,,,,,,,,Yes
22,Srinidhi Shankar,manusrinidhi10@gmail.com,,,,,,,,,,,Yes
23,Harsh Sheth,harshshethms@gmail.com,,,,,,,,,,,Yes
24,Nipun Midha,Nipunmidha92@gmail.com,,,,,,,,,,,Yes
25,Varad,varad.choudhari@gmail.com,,,,,,,,,,,Yes
26,Chaitanya Joshi,chaitanyajoshi15@gmail.com,,,,,,,,,,,Yes
27,Cyril Mathew ,Cyril13m@gmail.com,,,,,,,,,,,Yes
28,VYOM RAJ,vyomraj.nitrr@gmail.com,,,,,,,,,,,Yes
29,Bharathwaj,bharaths1993@gmail.com,,,,,,,,,,,Yes
30,Sibendu Dey,sibendu.dey@gmail.com,,,,,,,,,,,Yes
31,Akshat Shukla,aks.shukla47@gmail.com,,,,,,,,,,,Yes
32,Pragadeesh Suresh babu,praga.nitt@gmail.com,,,,,,,,,,,Yes
33,Samruddhi Pai Kakode,sam141094@gmail.com,,,,,,,,,,,Yes
34,Gaurav Gandhi,gaurav.g101@gmail.com,,,,,,,,,,,Yes
35,VENKATA SAI TARUN UPPALA,venkatasaitarunu@gmail.com,,,,,,,,,,,Yes
36,Grishma Thakkar,grishma.thkkr@gmail.com,,,,,,,,,,,Yes
37,Abhinn Ankit,abhinnankit@hotmail.com,,,,,,,,,,,Yes
38,Chirayu Desai,chirayudesai99@yahoo.co.in,,,,,,,,,,,Yes
39,Abhishek Ahuja,abhishekahuja02@gmail.com,,,,,,,,,,,Yes
